neg_prob,neu_prob,pos_prob
0.325235,0.465989,0.208775
0.573219,0.29996,0.126821
0.461142,0.207652,0.331206
0.892361,0.094872,0.012767
0.830263,0.130586,0.039151
0.661229,0.233452,0.105319
0.88037,0.103937,0.015693
0.928249,0.060901,0.010851
0.929419,0.057435,0.013147
0.84511,0.11875,0.03614
0.76895,0.20795,0.0231
0.841759,0.12289,0.03535
0.68425,0.277533,0.038217
0.43621,0.440971,0.122818
0.942756,0.045547,0.011697
0.322627,0.454609,0.222764
0.670385,0.257692,0.071923
0.865985,0.106296,0.027719
0.545955,0.319553,0.134492
0.933109,0.0527,0.014191
0.875537,0.103225,0.021238
0.913373,0.067668,0.018959
0.794153,0.170952,0.034895
0.382641,0.437935,0.179424
0.100254,0.822351,0.077395
0.046628,0.783372,0.17
0.298231,0.568986,0.132783
0.230712,0.568821,0.200468
0.418683,0.387159,0.194158
0.438842,0.306251,0.254907
0.721101,0.197065,0.081833
0.404537,0.557231,0.038232
0.731045,0.217299,0.051656
0.808913,0.159866,0.03122
0.138178,0.595878,0.265944
0.072787,0.61265,0.314563
0.676072,0.290926,0.033003
0.130916,0.214272,0.654812
0.159166,0.458791,0.382043
0.449938,0.374885,0.175177
0.46825,0.496882,0.034869
0.310307,0.619717,0.069975
0.074732,0.778759,0.14651
0.436391,0.46919,0.094419
0.040294,0.882017,0.077689
0.387315,0.514767,0.097918
0.150638,0.597567,0.251794
0.034665,0.838328,0.127007
0.064332,0.795572,0.140096
0.046127,0.807166,0.146707
0.792817,0.161759,0.045423
0.124396,0.25065,0.624954
0.381964,0.397408,0.220628
0.232208,0.31331,0.454481
0.561307,0.339152,0.099542
0.161219,0.686619,0.152162
0.581694,0.303143,0.115163
0.746408,0.22922,0.024371
0.334726,0.318838,0.346436
0.707552,0.249346,0.043101
0.401674,0.359155,0.239171
0.360113,0.343516,0.296371
0.37648,0.407732,0.215788
0.263328,0.671748,0.064924
0.338684,0.395131,0.266185
0.301122,0.542095,0.156783
0.201774,0.2722,0.526026
0.41959,0.317663,0.262747
0.23869,0.44848,0.31283
0.673149,0.234217,0.092634
0.649716,0.24936,0.100924
0.837786,0.125226,0.036988
0.286874,0.192999,0.520127
0.888334,0.097146,0.01452
0.882981,0.105255,0.011764
0.879163,0.096788,0.024049
0.561487,0.236444,0.202068
0.274105,0.385447,0.340448
0.934413,0.050946,0.014641
0.425541,0.377943,0.196516
0.573435,0.239054,0.187511
0.474622,0.432421,0.092957
0.326416,0.398565,0.275019
0.837649,0.141955,0.020396
0.878742,0.105791,0.015467
0.159936,0.773413,0.06665
0.838433,0.147043,0.014524
0.836227,0.144715,0.019058
0.644248,0.214237,0.141515
0.840103,0.10737,0.052527
0.255349,0.430335,0.314316
0.830354,0.135424,0.034222
0.214555,0.456482,0.328964
0.134205,0.706189,0.159606
0.555557,0.38742,0.057022
0.402046,0.530844,0.06711
0.469969,0.344117,0.185914
0.42959,0.43901,0.1314
0.57146,0.313219,0.11532
0.124653,0.593501,0.281846
0.277613,0.542647,0.17974
0.26982,0.463164,0.267016
0.088921,0.259359,0.65172
0.319899,0.418403,0.261697
0.769698,0.196972,0.033329
0.495003,0.277646,0.227351
0.583517,0.347254,0.069229
0.733398,0.194788,0.071813
0.313629,0.530265,0.156105
0.605073,0.271534,0.123393
0.868382,0.09717,0.034448
0.907292,0.076258,0.01645
0.721211,0.19202,0.086769
0.842236,0.138229,0.019535
0.878449,0.098775,0.022777
0.553279,0.235698,0.211023
0.498733,0.235314,0.265952
0.688314,0.251498,0.060188
0.360854,0.422458,0.216688
0.796013,0.176553,0.027434
0.661412,0.223108,0.115481
0.197972,0.378336,0.423693
0.258079,0.232407,0.509514
0.771987,0.195066,0.032947
0.561242,0.370941,0.067818
0.921816,0.063997,0.014187
0.5782,0.298862,0.122938
0.573109,0.306695,0.120196
0.925098,0.062463,0.012439
0.185436,0.478125,0.336438
0.764534,0.209743,0.025723
0.779315,0.155046,0.065639
