Topic 0: drone, russian, russia, ukrainian, not, war, strike, soldier, force, military
Topic 1: say, russian, russia, ukrainian, zelenskyy, attack, putin, war, kyiv, president
Topic 2: say, european, russia, minister, war, russian, president, talk, europe, country
Topic 3: china, say, russia, chinese, beijing, country, russian, year, visit, putin
Topic 4: trump, say, new, donald, president, story, report, house, year, australia
Topic 5: nuclear, russia, weapon, putin, country, korea, north, defence, russian, new
Topic 6: say, not, people, year, like, time, war, day, work, life
Topic 7: drone, village, russian, attack, damage, book, car, region, district, injure
Topic 8: israel, israeli, journalist, gaza, kill, civilian, lebanon, war, russian, death
Topic 9: olympic, athlete, international, say, game, world, gold, sport, ban, event
Topic 10: say, minister, poland, report, russian, government, country, foreign, prime, ukrainian
Topic 11: russia, russian, putin, app, telegram, australia, say, attack, australian, like
Topic 12: say, year, russian, government, country, people, russia, child, service, system
Topic 13: game, win, world, cup, play, england, team, player, final, match
Topic 14: oil, energy, price, say, gas, iran, fuel, war, ship, supply
Topic 15: say, year, government, labour, rise, market, people, price, cost, food
Topic 16: film, not, good, russian, war, help, russia, year, government, like
Topic 17: trump, say, europe, war, european, president, nato, greenland, security, world
Topic 18: orbán, hungary, say, election, party, hungarian, magyar, government, country, year
Topic 19: missile, strike, drone, russian, attack, ukrainian, defense, hit, region, air
Topic 20: oil, russian, sanction, russia, india, putin, trump, war, say, buy
